Gene Symbol, t=0 (Prime); WT YAP; Abundance 1221003 , t=24 (NMP); WT YAP; Abundance 1221004 , t=36; WT YAP; Abundance 1221005 , t=48 (PSM); WT YAP; Abundance 1221006 , t=0 (Prime); WT TAZ; Abundance 1221007 , t=24 (NMP); WT TAZ; Abundance 1221008 , t=36; WT TAZ; Abundance 1221009 , t=48 (PSM); WT TAZ; Abundance 1221010 
BRD3," 333,478.97 "," 737,337.94 "," 211,362.44 "," 241,582.84 "," 148,240.50 "," 803,309.40 "," 565,865.80 ",
CTCF," 260,698.22 "," 714,442.06 "," 142,511.11 "," 213,352.84 ",," 779,642.00 "," 406,342.47 ",
TUBG1," 275,504.80 "," 683,462.56 "," 92,570.54 "," 85,506.07 "," 122,855.03 "," 785,053.70 "," 259,224.50 ",
ZFX," 339,998.88 "," 680,437.25 ",,,,,," 50,698.05 "
EMSY," 650,698.10 "," 622,534.30 "," 664,087.94 "," 1,496,304.40 "," 282,548.88 "," 886,903.44 "," 1,393,293.20 "," 922,393.80 "
CHAF1A," 202,748.48 "," 597,218.94 "," 481,588.62 "," 653,691.40 "," 294,105.12 "," 1,020,529.80 "," 843,307.06 "," 381,146.80 "
RBPJ," 228,476.92 "," 556,823.00 "," 116,475.72 "," 127,990.96 ",," 519,470.20 "," 369,718.84 ",
MED1,," 549,772.60 "," 66,846.51 "," 52,971.06 ",," 234,378.23 "," 143,735.44 ",
SMARCC2," 185,230.31 "," 545,415.75 "," 130,572.54 "," 267,257.38 "," 124,441.41 "," 457,298.84 "," 257,812.48 ",
MORC2," 960,611.40 "," 539,072.94 "," 142,864.67 "," 396,020.62 "," 168,101.48 "," 773,965.20 "," 570,512.80 ",
ARID3B,," 533,149.80 "," 71,131.27 "," 69,394.56 "," 58,216.50 "," 591,287.60 "," 132,791.95 ",
FUBP3,," 525,865.40 ",," 161,371.60 "," 101,437.09 "," 234,453.72 "," 106,823.84 ",
RING1,," 510,914.12 "," 55,673.50 "," 99,090.15 ",," 381,894.44 "," 157,358.40 ",
CTBP2,," 498,400.10 ",," 54,832.19 "," 46,033.19 "," 258,957.69 ",,
PRDM2," 316,957.16 "," 487,726.90 ",,," 84,449.64 "," 440,096.30 "," 286,308.47 ",
EED," 286,203.40 "," 478,183.03 "," 198,617.98 "," 398,062.40 "," 135,570.55 "," 541,007.30 "," 484,439.12 "," 20,250.81 "
SMARCA2,," 432,454.80 ",," 72,044.34 ",," 600,397.20 "," 131,249.94 ",
HIRA,," 427,302.80 "," 74,398.80 "," 117,938.41 "," 53,777.29 "," 359,996.12 ",,
L3MBTL2," 195,953.50 "," 399,299.53 "," 84,546.29 "," 152,219.95 "," 105,919.18 "," 375,884.60 "," 270,995.44 ",
INTS3," 96,664.91 "," 392,969.53 ",,,," 498,669.72 "," 293,347.62 ",
LARP7," 137,744.47 "," 387,167.38 "," 103,000.95 "," 351,860.97 "," 106,677.78 "," 480,678.00 "," 799,669.50 "," 144,547.25 "
SMG6," 328,172.30 "," 370,739.70 "," 181,100.42 "," 313,430.53 "," 129,056.10 "," 508,886.00 "," 553,550.90 ",
DPF2," 196,352.48 "," 364,533.12 "," 225,201.95 "," 172,251.94 ",," 316,690.12 "," 340,842.47 "," 33,774.27 "
SIN3A," 112,305.57 "," 336,316.30 "," 71,071.60 "," 144,191.02 ",,," 178,864.92 ",
KDM2A,," 331,462.06 "," 46,649.86 "," 90,924.14 ",," 225,924.36 "," 150,564.48 ",
CC2D1A,," 324,580.44 "," 33,609.74 "," 56,278.67 ",," 319,098.80 "," 187,465.08 ",
RBBP5," 93,761.31 "," 302,244.44 "," 134,179.75 "," 147,227.90 ",," 333,696.03 "," 343,746.12 ",
THAP11,," 297,637.16 "," 105,641.33 "," 120,312.63 "," 41,474.18 "," 548,470.60 "," 283,135.90 ",
WIZ," 177,181.30 "," 285,976.80 "," 82,610.24 "," 117,830.27 ",," 444,315.00 "," 367,395.38 ",
MED12," 396,937.10 "," 277,609.88 "," 61,074.49 ",," 89,610.52 "," 142,574.69 "," 104,303.91 "," 15,280.84 "
CHD7,," 245,332.20 ",," 62,930.04 "," 42,545.21 "," 301,521.88 ",,
CAT,," 217,226.16 "," 167,360.11 "," 196,876.80 "," 251,489.69 ",," 337,868.16 ",
JARID2," 411,846.16 "," 211,954.80 ",,," 152,904.42 "," 319,039.80 ",,
INTS11,," 204,442.06 "," 26,865.69 "," 78,028.62 ",," 205,323.88 "," 100,523.01 ",
RCOR2," 737,864.30 "," 202,130.05 "," 296,462.88 "," 504,161.20 "," 340,635.03 "," 1,312,051.40 "," 1,218,408.20 ",
KDM5A,," 198,015.40 "," 90,013.91 "," 384,987.03 "," 80,806.19 "," 545,181.50 "," 425,948.62 ",
KRT3," 129,597.82 "," 177,450.64 ",,,," 488,241.20 ",," 249,652.56 "
CDC73,," 152,113.23 "," 53,265.97 "," 236,779.86 ",,," 379,026.97 ",
ZNF48,," 151,042.06 ",," 68,096.92 ",," 179,341.60 "," 86,009.81 ",
TTF2,," 109,079.23 ",,,," 213,940.70 "," 127,494.25 ",
TAF15," 2,824,971.20 "," 19,493.53 "," 2,172.66 "," 827,202.20 "," 461,263.88 "," 1,362,035.90 "," 1,651,858.90 "," 253,997.42 "
AGO2,,,,,,,,
APEX1,,,,,,,,
ARID4B,,,,,,,,
ASH2L,,,,,,,,
ATM,,,,,,,,
BRD7,,,,,,,,
BRPF1,,,,,,,,
CCAR2,,,,,,,,
CCNT2,,,,,,,,
CDCA7L," 164,726.00 ",,,,,,,
DIDO1,,,," 160,824.55 ",,," 195,338.69 ",
E2F2,,,,,,,,
EPC1,,,,,,,,
ERCC3," 193,581.72 ",," 78,971.19 "," 172,654.14 "," 62,166.59 "," 351,293.38 "," 253,022.64 ",
EZH2,,,,,,,,
FXR2,,,,,,,,
H1-6,,,,,,,,
HLTF,,,,,,,,
JMJD1C,,,,,,,,
KAT8,,,,,,,,
KDM5C," 148,424.38 ",,,,," 203,080.44 "," 116,375.35 ",
KMT2A," 383,324.20 ",,," 59,835.52 "," 35,620.31 "," 223,731.98 ",,
LEO1,,,,,,,,
LRRFIP1,,,,,," 282,822.70 "," 136,223.90 ",
MLLT1,,,,,,,,
MYH11,,,,,,,,
NELFA,,,,,,,,
NF1,,,,,,,,
NFXL1,,,,,,," 155,698.02 ",
NR4A1,,,,,,,,
PAF1,,,,,,,,
PHF10,,,," 120,209.43 ",," 190,100.12 ",,
RERE,,,,,,,,
RNGTT,,,," 71,729.45 ",," 138,710.77 "," 79,358.46 ",
RREB1," 505,187.40 ",,,,,," 122,276.10 ",
SIN3B," 53,670.98 ",,," 48,470.04 ",,,," 239,346.12 "
SRCAP,,,,,,,,
SRPK1,,,,,,,,
SUPT20H,,,,,,,,
TERF1,,,,,,,,
TERF2," 227,009.12 ",," 63,368.20 "," 256,668.20 ",," 613,402.90 "," 481,863.38 ",
TFAP4,,,,,,,,
TOX4,,,,,,,,
UHRF1," 220,496.23 ",," 81,810.81 "," 154,063.42 "," 107,108.72 "," 486,634.80 "," 312,587.12 ",
XPC,,,,,,,,
ZNF217,,,," 1,388.17 "," 3,860.27 "," 219,369.92 "," 89,604.60 ",
ZNF532,,,,,,,,
