Gene Symbol, t=0; WT TAZ; Abundance 1226503 , t=24; WT TAZ; Abundance 1226504 , t=36; WT TAZ; Abundance 1226505 , t=48; WT TAZ; Abundance 1226506 , t=0; Y2 TAZ; Abundance 1226507 , t=24; Y2 TAZ; Abundance 1226508 , t=36; Y2 TAZ; Abundance 1226509 , t=48; Y2 TAZ; Abundance 1226510 
DIDO1,," 433,644.84 "," 939,045.10 "," 488,684.00 "," 218,356.95 "," 100,277.13 "," 186,801.95 "," 86,755.95 "
NME2," 213,357.80 "," 429,374.75 "," 715,537.50 "," 1,240,551.40 ",," 43,644.73 "," 228,156.69 "," 72,114.81 "
DPF2," 323,245.22 "," 415,065.44 "," 949,326.75 "," 1,016,214.80 ",," 39,632.24 "," 177,654.08 "," 73,627.96 "
KDM2A," 134,210.84 "," 407,113.20 "," 720,958.25 "," 954,664.30 ",," 30,740.08 "," 285,646.88 ",
TBL1XR1," 165,076.38 "," 405,967.20 "," 1,294,971.50 "," 1,748,536.60 "," 22,436.99 "," 60,132.89 "," 194,269.69 "," 72,790.46 "
INTS11," 406,682.25 "," 401,768.97 "," 1,059,499.00 "," 1,087,171.80 ",," 24,639.55 "," 104,184.62 "," 57,393.49 "
CNOT7,," 395,779.25 "," 930,905.60 "," 552,365.06 ",," 34,953.01 "," 307,303.97 "," 79,331.90 "
DMAP1," 169,097.70 "," 377,889.70 "," 622,451.90 "," 977,601.60 "," 35,726.82 "," 209,040.42 "," 594,853.06 "," 166,204.33 "
COIL," 1,142,136.60 "," 372,901.62 "," 1,636,335.40 "," 2,050,031.00 "," 8,655.36 "," 65,382.33 "," 407,495.70 "," 22,077.86 "
ARID3B," 294,969.80 "," 355,613.12 "," 1,005,051.70 "," 2,221,913.50 "," 46,593.39 "," 44,754.42 "," 267,679.40 "," 192,763.38 "
POU5F1," 175,741.69 "," 340,664.90 "," 805,024.20 "," 873,098.40 ",," 103,206.63 "," 180,025.20 "," 84,962.74 "
SMC4," 468,659.60 "," 340,122.80 "," 1,129,896.50 "," 1,838,571.00 ",," 49,739.80 "," 327,712.84 "," 178,861.92 "
HIRA,," 333,575.03 "," 850,015.75 "," 818,806.56 "," 18,051.62 "," 20,932.78 "," 95,671.30 "," 23,437.21 "
YY1," 159,904.92 "," 321,404.94 "," 561,009.00 "," 781,486.30 ",," 31,882.11 "," 152,047.52 "," 39,383.80 "
FANCD2," 214,637.64 "," 315,122.12 "," 715,234.20 "," 494,282.30 "," 42,314.63 "," 23,374.83 "," 166,853.55 "," 71,949.77 "
SMAD2,," 314,319.90 "," 718,318.75 "," 1,166,558.20 ",," 34,679.66 "," 118,287.45 "," 40,520.95 "
ZFP64," 33,284.84 "," 306,797.70 "," 331,201.88 "," 470,789.03 ",," 17,133.19 "," 33,789.98 ",
HDGFL3," 150,370.89 "," 267,536.30 "," 801,767.75 "," 713,359.25 ",," 24,931.55 "," 197,324.77 "," 22,634.42 "
NXF1," 105,993.79 "," 266,835.16 "," 405,629.10 "," 526,881.40 ",," 35,701.61 "," 216,669.72 "," 78,862.66 "
SMG6," 454,014.10 "," 266,206.66 "," 1,660,816.40 "," 1,539,197.60 "," 4,972.80 "," 75,921.63 "," 428,755.70 "," 104,270.92 "
RREB1," 51,890.66 "," 256,807.02 "," 976,296.56 "," 1,040,917.20 "," 35,992.40 "," 364,536.30 "," 805,985.10 "," 332,655.80 "
ING5," 265,728.72 "," 225,569.84 "," 684,054.40 "," 967,793.44 ",," 28,576.92 "," 127,350.30 "," 16,234.67 "
SAP130," 165,651.84 "," 211,566.19 "," 611,549.94 "," 717,488.80 ",," 32,340.62 "," 59,421.53 "," 28,822.01 "
CNOT3," 191,761.52 "," 210,965.00 "," 434,435.80 "," 316,398.06 ",," 36,128.91 "," 90,817.76 "," 29,546.26 "
CHD7," 139,747.73 "," 210,156.72 "," 415,977.44 "," 562,421.80 ",," 13,527.23 "," 132,710.38 "," 42,133.76 "
MED12," 91,505.83 "," 194,514.84 "," 358,532.44 "," 353,415.53 ",," 51,897.57 ",," 24,119.23 "
GSPT2," 175,795.28 "," 181,752.98 "," 497,142.00 "," 454,285.38 ",," 57,820.40 "," 217,799.40 "," 149,511.44 "
AGO2," 135,189.45 "," 179,955.60 "," 390,464.80 "," 314,695.62 ",," 14,996.67 "," 84,669.98 ",
UPF1," 118,737.91 "," 175,084.69 "," 339,839.03 "," 403,698.12 ",," 58,717.60 "," 138,610.22 "," 64,913.26 "
TIAL1," 151,767.81 "," 173,926.20 "," 378,892.03 "," 501,389.25 ",," 12,911.29 "," 25,332.18 "," 20,969.82 "
PRMT1,," 150,495.95 "," 599,926.00 "," 331,224.53 ",," 27,962.86 "," 93,185.55 "," 85,894.19 "
KDM5A," 178,816.34 "," 146,131.94 "," 230,433.80 "," 264,087.44 ",," 13,807.24 "," 34,287.25 "," 15,770.80 "
WDHD1," 152,855.52 "," 145,234.34 "," 254,942.36 "," 476,581.03 ",," 66,850.20 "," 294,082.28 "," 117,548.96 "
SUPT20H," 122,489.88 "," 133,516.73 "," 421,127.60 "," 346,108.28 ",," 32,498.44 "," 100,708.26 ",
NELFB," 120,070.44 "," 126,024.25 "," 487,496.44 "," 711,710.20 ",," 14,458.63 "," 70,696.27 "," 51,181.01 "
PATZ1,," 116,176.03 "," 720,797.06 "," 1,291,207.10 ",," 17,412.01 "," 32,700.36 "," 6,413.71 "
TFAM," 112,982.20 "," 85,938.30 "," 298,141.20 "," 488,652.30 ",," 43,237.00 "," 172,511.38 "," 53,029.90 "
