Gene Symbol,t=24 (NMP); WT TAZ; Abundance 1221008,t=24; WT TAZ; Abundance 1226504
TCOF1,"4,335,858.50","2,607,712.20"
SIN3A,,"2,580,535.50"
PHF6,"990,455.80","2,509,025.50"
EP400,"2,229,309.00","2,372,528.20"
PHF2,"2,228,814.20","2,331,291.20"
ZNF687,"1,147,541.50","2,256,584.20"
CTBP2,"258,957.69","2,190,836.20"
EMSY,"886,903.44","2,187,151.80"
PRPF4,"2,658,722.00","2,062,771.90"
PAWR,"3,604,309.50","1,896,827.90"
WDR5,"2,263,643.80","1,883,765.80"
MTA2,"986,082.06","1,876,983.00"
GTF3C2,"803,918.20","1,863,227.60"
CBX1,"770,442.90","1,831,988.40"
TUBG1,"785,053.70","1,724,701.00"
EP300,"3,454,941.80","1,653,236.10"
LIN28A,"717,749.75","1,589,280.10"
HDAC1,"1,154,937.50","1,580,285.10"
NSD2,"2,168,670.20","1,567,945.00"
CTCF,"779,642.00","1,531,931.20"
ZNF280C,"3,118,678.00","1,491,605.20"
MPHOSPH8,"678,506.90","1,346,013.80"
MTA3,"5,419,669.00","1,341,473.20"
CTR9,"771,269.44","1,340,373.80"
SIPA1,"1,145,768.10","1,337,624.90"
PHB2,"14,747,963.00","1,333,443.90"
SUZ12,"1,132,984.90","1,287,921.90"
CDK9,"1,849,321.80","1,154,558.60"
ZNF48,"179,341.60","1,131,529.90"
CBX2,"957,376.00","1,085,150.00"
BRD1,"2,147,868.20","1,004,440.80"
RBM22,"3,065,163.00","958,372.25"
LMNB1,"22,974,904.00","927,496.06"
RBPJ,"519,470.20","764,338.20"
ORC2,"667,786.80","729,987.70"
CHAF1B,"1,887,400.10","718,782.06"
CHAF1A,"1,020,529.80","707,629.25"
HMGA1,"34,633,008.00","656,859.20"
LMNB2,"21,534,154.00","642,504.70"
ENO1,"853,282.94","640,428.60"
RBBP5,"333,696.03","620,937.25"
MTHFD1,"3,861,841.50","560,012.06"
MED1,"234,378.23","521,295.88"
THAP11,"548,470.60","482,928.30"
DPF2,"316,690.12","415,065.44"
KDM2A,"225,924.36","407,113.20"
INTS11,"205,323.88","401,768.97"
DMAP1,"1,448,055.40","377,889.70"
COIL,"889,614.20","372,901.62"
ARID3B,"591,287.60","355,613.12"
SMC4,"2,120,941.20","340,122.80"
HIRA,"359,996.12","333,575.03"
NXF1,"827,625.50","266,835.16"
SMG6,"508,886.00","266,206.66"
SAP130,,"211,566.19"
CHD7,"301,521.88","210,156.72"
MED12,"142,574.69","194,514.84"
KDM5A,"545,181.50","146,131.94"
