"Gene Symbol","t=24 WT YAP Abundance 1245818","t=24 YT2 YAP Abundance 1245819","t=24 WT TAZ Abundance 1245820","t=24 YT2 TAZ Abundance 1245821","t=24 Y2 TAZ Abundance 1245822"
JARID2,92800.0,,40200.0,,
TEAD4,774000.0,,,,
ZNF512B,75900.0,,19800.0,,
