Gene Symbol,t=24 WT YAP Abundance 1245818,t=24 YT2 YAP Abundance 1245819,t=24 WT TAZ Abundance 1245820,t=24 YT2 TAZ Abundance 1245821,t=24 Y2 TAZ Abundance 1245822
SMARCB1,2.59E+05,,5.06E+04,,
JARID2,9.28E+04,,4.02E+04,,
ZNF512B,7.59E+04,,1.98E+04,,
TEAD1,2.02E+06,,,,
TEAD2,8.07E+05,,,,
TEAD4,7.74E+05,,,,
ENO1,31787.232,,,,
HDAC2,,,,,
TOP2B,,,,,
KHDRBS1,,,,,
