Gene Symbol,t=24 WT YAP Abundance 1245818,t=24 YT2 YAP Abundance 1245819,t=24 WT TAZ Abundance 1245820,t=24 YT2 TAZ Abundance 1245821,t=24 Y2 TAZ Abundance 1245822
SMARCB1,259000.00,,50600.00,,
JARID2,92800.00,,40200.00,,
ZNF512B,75900.00,,19800.00,,
TEAD1,2020000.00,,,,
TEAD2,807000.00,,,,
TEAD4,774000.00,,,,
ENO1,31787.23,,,,
HDAC2,,,,,
TOP2B,,,,,
KHDRBS1,,,,,
