"Gene Symbol","t=24 WT YAP; Abundance 1242701","t=24 Y2 YAP; Abundance 1242702"
YAP1,8407484.0,
SMARCC1,115076.65,
TEAD2,81226.77,
SMARCA4,70361.67,
HNRNPH1,52450.58,
DDX21,15730.36,
SMARCE1,11979.1,
NPM1,,
